Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,BA,BE,EURUSD=X,TGT,XAUT-USD,BA,BE,EURUSD=X,TGT,XAUT-USD,BA,BE,EURUSD=X,TGT,XAUT-USD,BA,BE,EURUSD=X,TGT,XAUT-USD,BA,BE,EURUSD=X,TGT,XAUT-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,1.1493064165115356,,,,,1.155001163482666,,,,,1.146499752998352,,,,,1.1494252681732178,,,,,0.0,,
2019-01-02,314.6451110839844,10.119999885559082,1.14617121219635,54.93221664428711,,314.7811628579974,10.685999870300293,1.1497001647949219,55.2711990353888,,304.830968326349,9.75,1.1345715522766113,53.543201934244436,,307.24078685624636,9.90999984741211,1.1461317539215088,53.791236445502726,,3292200.0,606400.0,0.0,4549300.0,
2019-01-03,302.10052490234375,10.470000267028809,1.1318106651306152,54.17983627319336,,310.6903209339922,10.779999732971191,1.1409143209457397,55.089308855809556,,300.6429797230267,9.871000289916992,1.131733775138855,54.080624981816754,,310.44739673743936,10.149999618530273,1.131733775138855,54.675911653898496,,5705600.0,386100.0,0.0,4562200.0,
2019-01-04,317.82257080078125,11.829999923706055,1.1391078233718872,54.923946380615234,,319.1440938459237,12.739999771118164,1.14177405834198,55.296001297718234,,307.133906185601,10.600000381469727,1.1348161697387695,54.11368517962514,,307.7266566433448,10.800000190734863,1.1390948295593262,54.76685344284552,,4448800.0,659800.0,0.0,4825900.0,
2019-01-07,318.8234558105469,12.40999984741211,1.1410444974899292,57.61103439331055,,321.33045042015283,13.239999771118164,1.147446870803833,57.77639075113596,,314.1981987284659,11.859999656677246,1.1405240297317505,55.23813218007747,,321.1652488993689,11.859999656677246,1.141291856765747,55.23813218007747,,4030300.0,391600.0,0.0,7630600.0,
2019-01-08,330.8918762207031,12.729999542236328,1.1479737758636475,57.55316162109375,,331.5914990311859,13.25,1.1486331224441528,58.27247505660297,,323.23490147648374,12.470000267028809,1.1424654722213745,56.47832632315229,,324.65357035607957,13.0,1.1479343175888062,58.024434200788484,,4736500.0,329500.0,0.0,6756000.0,
2019-01-09,334.0985107421875,12.140000343322754,1.1456066370010376,58.11536407470703,,337.37315399527546,13.630000114440918,1.1540148258209229,58.685854081428644,,331.2222964049504,12.010000228881836,1.144164800643921,56.866903087971814,,333.2531392377907,12.800000190734863,1.1457247734069824,57.36297833784584,,4213900.0,643500.0,0.0,6025100.0,
2019-01-10,342.6300048828125,12.020000457763672,1.1554949283599854,56.46178436279297,,343.46567957633874,12.380000114440918,1.157139539718628,56.49485689224882,,333.2920125833411,11.65999984741211,1.151145339012146,55.00662460643536,,336.7026779447765,12.09000015258789,1.1555217504501343,56.180671016388196,,5358100.0,474500.0,0.0,13913700.0,
2019-01-11,342.91180419921875,12.239999771118164,1.151012897491455,57.55316162109375,,344.3304732630758,12.6899995803833,1.1539002656936646,57.90868348352599,,338.2379448352681,11.8100004196167,1.1459741592407227,56.27162771262055,,338.69464352995385,11.84000015258789,1.1515165567398071,56.470062920448534,,3158900.0,387700.0,0.0,5025900.0,
2019-01-14,340.44366455078125,12.149999618530273,1.146013617515564,56.91652297973633,,342.8243334879572,12.5600004196167,1.148369312286377,57.75158708279328,,337.18850410919197,11.9399995803833,1.1451605558395386,56.742896914179255,,338.34482563252516,12.479999542236328,1.1462763547897339,57.17283353093635,,2476400.0,174300.0,0.0,4568000.0,
2019-01-15,342.2704772949219,12.59000015258789,1.1472889184951782,56.3956298828125,,343.3199264633185,13.399999618530273,1.1491611003875732,56.85036920193986,,338.13106901954325,12.053000450134277,1.1386150121688843,56.056647551413064,,342.03727954809307,12.130000114440918,1.147315263748169,56.85036920193986,,2940900.0,442400.0,0.0,3770000.0,
2019-01-16,342.0956115722656,12.819999694824219,1.1416828632354736,56.09799575805664,,344.95240285838565,13.350000381469727,1.14223051071167,56.74289434606435,,341.6097631175355,12.649999618530273,1.1378893852233887,55.891297169185435,,342.523160584735,13.220000267028809,1.141409158706665,56.271621815755616,,2731100.0,253000.0,0.0,4888700.0,
2019-01-17,348.9266052246094,13.109999656677246,1.1398088932037354,57.3547248840332,,353.532438631681,13.479999542236328,1.1407711505889893,57.59449599643968,,340.8032340970457,12.600000381469727,1.1372424364089966,55.535773575137874,,340.822657357937,12.859999656677246,1.1398999691009521,55.81688692717794,,4270400.0,436600.0,0.0,4133200.0,
2019-01-18,354.4069519042969,12.670000076293945,1.13926362991333,58.43782043457031,,356.9236428260908,13.420000076293945,1.1410315036773682,58.60317676872957,,351.0934625629551,12.579999923706055,1.1354217529296875,57.73504655248376,,353.5810037695866,13.1899995803833,1.1391856670379639,57.850797247983195,,4256500.0,494300.0,0.0,4484100.0,
2019-01-21,,,1.1365574598312378,,,,,1.1388224363327026,,,,,1.1357957124710083,,,,,1.1365444660186768,,,,,0.0,,
2019-01-22,347.7702331542969,12.020000457763672,1.136932134628296,58.10710144042969,,353.89193998329705,12.420000076293945,1.1375269889831543,58.73546686433314,,344.20412297239375,11.399999618530273,1.1336840391159058,57.59449301992986,,352.58984034678747,12.380000114440918,1.1369578838348389,58.18977960748387,,4336500.0,727800.0,0.0,5763900.0,
2019-01-23,348.460205078125,12.0,1.1364023685455322,58.14018249511719,,351.94862298446475,12.079999923706055,1.1393154859542847,59.074457904926916,,343.6600497562653,11.819999694824219,1.1351640224456787,57.321657797746155,,351.6668225852405,11.890000343322754,1.1363766193389893,58.570112811612255,,2924900.0,237900.0,0.0,4446600.0,
2019-01-24,348.1297912597656,11.579999923706055,1.1388224363327026,58.37994384765625,,352.90082596094345,12.154999732971191,1.1393414735794067,58.61971494265569,,346.7985714289157,11.399999618530273,1.131324052810669,57.72677561809357,,348.75169142666806,12.130000114440918,1.1387057304382324,58.330338210049355,,2801300.0,663600.0,0.0,4057000.0,
2019-01-25,353.8919982910156,11.529999732971191,1.1313496828079224,59.85163497924805,,356.55443812308687,11.989999771118164,1.1411616802215576,59.892977214734856,,350.13150663966957,11.289999961853027,1.1305822134017944,58.652785845404495,,352.23037535652526,11.710000038146973,1.1309914588928223,58.74373371712388,,3185600.0,570800.0,0.0,5544200.0,
2019-01-28,352.6968078613281,10.699999809265137,1.1413049697875977,59.62839126586914,,352.89115909342985,11.489999771118164,1.1445575952529907,59.7110694122058,,347.38162489014235,10.609999656677246,1.1390948295593262,58.876005625947585,,350.44246404582003,11.1899995803833,1.141265869140625,59.54570681159425,,3128900.0,937500.0,0.0,3511100.0,
2019-01-29,354.5818786621094,9.880000114440918,1.143000841140747,59.28113555908203,,357.37064370058647,10.550000190734863,1.1450556516647339,59.68626921739895,,352.1526366907764,9.75,1.1411746740341187,58.950422959227765,,352.7939601296682,10.5,1.1429747343063354,59.62839388163061,,3202700.0,1265200.0,0.0,3320600.0,
